id,date,NO2_pred
28,2024-05-09,9.544814e-05
28,2024-05-10,9.601652e-05
28,2024-05-11,9.650515e-05
28,2024-05-12,9.700649e-05
28,2024-05-13,9.793043e-05
28,2024-05-14,9.8119956e-05
28,2024-05-15,9.8609555e-05
29,2024-04-30,9.2924136e-05
29,2024-05-01,9.342026e-05
29,2024-05-02,9.388789e-05
29,2024-05-03,9.419419e-05
29,2024-05-04,9.4704395e-05
29,2024-05-05,9.4626695e-05
29,2024-05-06,9.4832794e-05
29,2024-05-07,9.4998344e-05
29,2024-05-08,9.513347e-05
29,2024-05-09,9.5017094e-05
29,2024-05-10,9.51133e-05
29,2024-05-11,9.511144e-05
29,2024-05-12,9.525253e-05
29,2024-05-13,9.5463656e-05
29,2024-05-14,9.542013e-05
29,2024-05-15,9.53549e-05
30,2024-04-30,9.23402e-05
30,2024-05-01,9.284933e-05
30,2024-05-02,9.349781e-05
30,2024-05-03,9.4005736e-05
30,2024-05-04,9.488403e-05
30,2024-05-05,9.5015734e-05
30,2024-05-06,9.536755e-05
30,2024-05-07,9.579171e-05
30,2024-05-08,9.625947e-05
30,2024-05-09,9.6353375e-05
30,2024-05-10,9.6798365e-05
30,2024-05-11,9.716435e-05
30,2024-05-12,9.759176e-05
30,2024-05-13,9.814742e-05
30,2024-05-14,9.829144e-05
30,2024-05-15,9.855624e-05
