                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.87488,                 1.7833,                  1.157,                 1.0863,                0.87029,                0.19444,                0.21457,                0.15384,                  0.874,                0.19444,                0.20648,                0.13684,                 1.4696,                0.43434,                  5.814,                 1.0545,             0.00033114,             0.00033114,             0.00033114
                     67,                 1.0653,                  2.029,                 1.2875,                 1.1439,                0.87203,                0.37668,                0.39975,                0.28488,                0.80394,                0.34722,                0.35875,                0.26298,                 1.4696,                0.43434,                  5.814,                 1.0545,             0.00032689,             0.00032689,             0.00032689
                     68,                0.97687,                  2.047,                 1.1546,                 1.0883,                0.85801,                0.54167,                0.53568,                 0.3566,                 0.8145,                    0.5,                0.48626,                0.34384,                 1.4696,                0.43434,                  5.814,                 1.0545,             0.00032237,             0.00032237,             0.00032237
                     69,                 1.0017,                 2.0336,                 1.2319,                 1.1033,                0.81483,                0.19444,                0.20503,                0.15723,                0.81483,                0.19444,                0.20503,                0.12715,                 1.4951,                0.43478,                 5.7529,                 1.1046,             0.00031756,             0.00031756,             0.00031756
                     70,                 1.0152,                 2.0052,                 1.1954,                 1.0878,                0.81866,                0.35185,                0.38216,                0.27041,                0.82184,                0.38889,                0.35132,                0.23959,                 1.4951,                0.43478,                 5.7529,                 1.1046,             0.00031247,             0.00031247,             0.00031247
                     71,                 1.1332,                 2.1428,                  1.227,                 1.1981,                0.80744,                0.46718,                0.48109,                0.33372,                0.82627,                0.54167,                0.50043,                0.31759,                 1.4951,                0.43478,                 5.7529,                 1.1046,             0.00030709,             0.00030709,             0.00030709
                     72,                0.93861,                 1.9387,                 1.0933,                 1.1215,                0.79235,                0.19444,                0.19981,                0.14298,                0.79235,                0.19444,                0.19981,                0.12429,                 1.5582,                0.42166,                 5.5508,                 1.1034,             0.00030143,             0.00030143,             0.00030143
                     73,                  0.989,                 1.9029,                 1.1785,                 1.1615,                0.89163,                0.40134,                0.41325,                0.27096,                0.87822,                0.40859,                0.39744,                0.23975,                 1.5582,                0.42166,                 5.5508,                 1.1034,             0.00029549,             0.00029549,             0.00029549
                     74,                0.93673,                 1.7711,                 1.1455,                 1.1109,                0.91861,                0.49044,                0.51825,                0.33446,                0.88328,                0.52635,                0.54074,                0.31395,                 1.5582,                0.42166,                 5.5508,                 1.1034,             0.00028927,             0.00028927,             0.00028927
                     75,                0.96737,                 1.8093,                 1.1532,                 1.1269,                0.87996,                0.19444,                0.20159,                0.14708,                0.87996,                0.19444,                0.20159,                0.12445,                 1.4661,                0.40027,                 5.1968,                 1.0267,             0.00028276,             0.00028276,             0.00028276
                     76,                0.92555,                 2.0965,                  1.132,                 1.0892,                0.90881,                0.38096,                0.41014,                0.28818,                 0.8377,                0.34124,                0.36071,                0.23553,                 1.4661,                0.40027,                 5.1968,                 1.0267,             0.00027598,             0.00027598,             0.00027598
